"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file","LMS service","Mon May 11 02:26:36 UTC 2026","passed","Mon May 11 02:26:36 UTC 2026","Get entity","Files","",""
"","306","Update course","LMS service","Mon May 11 02:26:30 UTC 2026","passed","Mon May 11 02:26:30 UTC 2026","Update entity","Courses","",""
"","14","Create file with empty filename","LMS service","Mon May 11 02:26:36 UTC 2026","passed","Mon May 11 02:26:36 UTC 2026","Validate entity","Files","",""
"","292","Create exercise","LMS service","Mon May 11 02:26:32 UTC 2026","passed","Mon May 11 02:26:32 UTC 2026","Create entity","Exercises","",""
"","27","Get courses","LMS service","Mon May 11 02:26:31 UTC 2026","passed","Mon May 11 02:26:31 UTC 2026","Get entities","Courses","",""
"","32","Create course","LMS service","Mon May 11 02:26:31 UTC 2026","passed","Mon May 11 02:26:31 UTC 2026","Create entity","Courses","",""
"","295","Delete file","LMS service","Mon May 11 02:26:37 UTC 2026","passed","Mon May 11 02:26:37 UTC 2026","Delete entity","Files","",""
"","272","Get file with incorrect file id","LMS service","Mon May 11 02:26:38 UTC 2026","passed","Mon May 11 02:26:38 UTC 2026","Validate entity","Files","",""
"","21","Delete exercise","LMS service","Mon May 11 02:26:34 UTC 2026","passed","Mon May 11 02:26:34 UTC 2026","Delete entity","Exercises","",""
"","24","Update exercise","LMS service","Mon May 11 02:26:33 UTC 2026","passed","Mon May 11 02:26:33 UTC 2026","Update entity","Exercises","",""
"","12","Get user me","LMS service","Mon May 11 02:26:39 UTC 2026","passed","Mon May 11 02:26:39 UTC 2026","Get entity","Users","",""
"","22","Get exercises","LMS service","Mon May 11 02:26:35 UTC 2026","passed","Mon May 11 02:26:35 UTC 2026","Get entities","Exercises","",""
"","265","Create file with empty directory","LMS service","Mon May 11 02:26:37 UTC 2026","passed","Mon May 11 02:26:37 UTC 2026","Validate entity","Files","",""
"","549","Create user","LMS service","Mon May 11 02:26:37 UTC 2026","passed","Mon May 11 02:26:38 UTC 2026","Create entity","Users","",""
"","24","Create file","LMS service","Mon May 11 02:26:35 UTC 2026","passed","Mon May 11 02:26:35 UTC 2026","Create entity","Files","",""
"","551","Login with correct email and password","LMS service","Mon May 11 02:26:29 UTC 2026","passed","Mon May 11 02:26:30 UTC 2026","Login","Authentication","",""
"","289","Create user","LMS service","Mon May 11 02:26:38 UTC 2026","passed","Mon May 11 02:26:38 UTC 2026","Create entity","Users","",""
"","562","Create user","LMS service","Mon May 11 02:26:38 UTC 2026","passed","Mon May 11 02:26:39 UTC 2026","Create entity","Users","",""
"","20","Get exercise","LMS service","Mon May 11 02:26:33 UTC 2026","passed","Mon May 11 02:26:33 UTC 2026","Get entity","Exercises","",""
