"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","Update course","LMS service","Tue May 12 02:28:42 UTC 2026","passed","Tue May 12 02:28:42 UTC 2026","Update entity","Courses","",""
"","51","Get exercise","LMS service","Tue May 12 02:28:46 UTC 2026","passed","Tue May 12 02:28:46 UTC 2026","Get entity","Exercises","",""
"","21","Update exercise","LMS service","Tue May 12 02:28:45 UTC 2026","passed","Tue May 12 02:28:45 UTC 2026","Update entity","Exercises","",""
"","27","Create course","LMS service","Tue May 12 02:28:43 UTC 2026","passed","Tue May 12 02:28:43 UTC 2026","Create entity","Courses","",""
"","610","Create user","LMS service","Tue May 12 02:28:50 UTC 2026","passed","Tue May 12 02:28:50 UTC 2026","Create entity","Users","",""
"","19","Create file","LMS service","Tue May 12 02:28:47 UTC 2026","passed","Tue May 12 02:28:47 UTC 2026","Create entity","Files","",""
"","326","Delete exercise","LMS service","Tue May 12 02:28:46 UTC 2026","passed","Tue May 12 02:28:46 UTC 2026","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Tue May 12 02:28:52 UTC 2026","passed","Tue May 12 02:28:52 UTC 2026","Get entity","Users","",""
"","14","Create file with empty filename","LMS service","Tue May 12 02:28:48 UTC 2026","passed","Tue May 12 02:28:48 UTC 2026","Validate entity","Files","",""
"","328","Create exercise","LMS service","Tue May 12 02:28:44 UTC 2026","passed","Tue May 12 02:28:44 UTC 2026","Create entity","Exercises","",""
"","322","Get exercises","LMS service","Tue May 12 02:28:47 UTC 2026","passed","Tue May 12 02:28:47 UTC 2026","Get entities","Exercises","",""
"","624","Login with correct email and password","LMS service","Tue May 12 02:28:41 UTC 2026","passed","Tue May 12 02:28:41 UTC 2026","Login","Authentication","",""
"","322","Create user","LMS service","Tue May 12 02:28:50 UTC 2026","passed","Tue May 12 02:28:51 UTC 2026","Create entity","Users","",""
"","15","Get file","LMS service","Tue May 12 02:28:48 UTC 2026","passed","Tue May 12 02:28:48 UTC 2026","Get entity","Files","",""
"","331","Delete file","LMS service","Tue May 12 02:28:50 UTC 2026","passed","Tue May 12 02:28:50 UTC 2026","Delete entity","Files","",""
"","331","Get courses","LMS service","Tue May 12 02:28:42 UTC 2026","passed","Tue May 12 02:28:43 UTC 2026","Get entities","Courses","",""
"","299","Create file with empty directory","LMS service","Tue May 12 02:28:49 UTC 2026","passed","Tue May 12 02:28:49 UTC 2026","Validate entity","Files","",""
"","630","Create user","LMS service","Tue May 12 02:28:51 UTC 2026","passed","Tue May 12 02:28:51 UTC 2026","Create entity","Users","",""
"","303","Get file with incorrect file id","LMS service","Tue May 12 02:28:50 UTC 2026","passed","Tue May 12 02:28:50 UTC 2026","Validate entity","Files","",""
