"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty directory","LMS service","Wed May 27 02:05:28 UTC 2026","passed","Wed May 27 02:05:29 UTC 2026","Validate entity","Files","",""
"","24","Delete file","LMS service","Wed May 27 02:05:29 UTC 2026","passed","Wed May 27 02:05:29 UTC 2026","Delete entity","Files","",""
"","285","Login with correct email and password","LMS service","Wed May 27 02:05:21 UTC 2026","passed","Wed May 27 02:05:22 UTC 2026","Login","Authentication","",""
"","21","Create exercise","LMS service","Wed May 27 02:05:24 UTC 2026","passed","Wed May 27 02:05:24 UTC 2026","Create entity","Exercises","",""
"","289","Create user","LMS service","Wed May 27 02:05:30 UTC 2026","passed","Wed May 27 02:05:30 UTC 2026","Create entity","Users","",""
"","15","Get exercises","LMS service","Wed May 27 02:05:26 UTC 2026","passed","Wed May 27 02:05:26 UTC 2026","Get entities","Exercises","",""
"","35","Create course","LMS service","Wed May 27 02:05:24 UTC 2026","passed","Wed May 27 02:05:24 UTC 2026","Create entity","Courses","",""
"","304","Update course","LMS service","Wed May 27 02:05:22 UTC 2026","passed","Wed May 27 02:05:22 UTC 2026","Update entity","Courses","",""
"","529","Create user","LMS service","Wed May 27 02:05:29 UTC 2026","passed","Wed May 27 02:05:30 UTC 2026","Create entity","Users","",""
"","562","Create user","LMS service","Wed May 27 02:05:30 UTC 2026","passed","Wed May 27 02:05:30 UTC 2026","Create entity","Users","",""
"","30","Get courses","LMS service","Wed May 27 02:05:22 UTC 2026","passed","Wed May 27 02:05:23 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Wed May 27 02:05:31 UTC 2026","passed","Wed May 27 02:05:31 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Wed May 27 02:05:28 UTC 2026","passed","Wed May 27 02:05:28 UTC 2026","Get entity","Files","",""
"","315","Get exercise","LMS service","Wed May 27 02:05:25 UTC 2026","passed","Wed May 27 02:05:25 UTC 2026","Get entity","Exercises","",""
"","271","Get file with incorrect file id","LMS service","Wed May 27 02:05:30 UTC 2026","passed","Wed May 27 02:05:30 UTC 2026","Validate entity","Files","",""
"","23","Update exercise","LMS service","Wed May 27 02:05:25 UTC 2026","passed","Wed May 27 02:05:25 UTC 2026","Update entity","Exercises","",""
"","264","Create file","LMS service","Wed May 27 02:05:27 UTC 2026","passed","Wed May 27 02:05:27 UTC 2026","Create entity","Files","",""
"","290","Delete exercise","LMS service","Wed May 27 02:05:26 UTC 2026","passed","Wed May 27 02:05:26 UTC 2026","Delete entity","Exercises","",""
"","261","Create file with empty filename","LMS service","Wed May 27 02:05:28 UTC 2026","passed","Wed May 27 02:05:28 UTC 2026","Validate entity","Files","",""
