"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Get user me","LMS service","Fri May 15 02:05:02 UTC 2026","passed","Fri May 15 02:05:02 UTC 2026","Get entity","Users","",""
"","15","Get exercises","LMS service","Fri May 15 02:04:57 UTC 2026","passed","Fri May 15 02:04:57 UTC 2026","Get entities","Exercises","",""
"","15","Get file","LMS service","Fri May 15 02:04:58 UTC 2026","passed","Fri May 15 02:04:58 UTC 2026","Get entity","Files","",""
"","321","Get exercise","LMS service","Fri May 15 02:04:56 UTC 2026","passed","Fri May 15 02:04:56 UTC 2026","Get entity","Exercises","",""
"","18","Update exercise","LMS service","Fri May 15 02:04:55 UTC 2026","passed","Fri May 15 02:04:55 UTC 2026","Update entity","Exercises","",""
"","324","Create user","LMS service","Fri May 15 02:05:01 UTC 2026","passed","Fri May 15 02:05:01 UTC 2026","Create entity","Users","",""
"","23","Delete file","LMS service","Fri May 15 02:05:00 UTC 2026","passed","Fri May 15 02:05:00 UTC 2026","Delete entity","Files","",""
"","27","Get courses","LMS service","Fri May 15 02:04:53 UTC 2026","passed","Fri May 15 02:04:53 UTC 2026","Get entities","Courses","",""
"","303","Create file with empty filename","LMS service","Fri May 15 02:04:59 UTC 2026","passed","Fri May 15 02:04:59 UTC 2026","Validate entity","Files","",""
"","302","Create file with empty directory","LMS service","Fri May 15 02:04:59 UTC 2026","passed","Fri May 15 02:05:00 UTC 2026","Validate entity","Files","",""
"","598","Create user","LMS service","Fri May 15 02:05:00 UTC 2026","passed","Fri May 15 02:05:01 UTC 2026","Create entity","Users","",""
"","27","Create course","LMS service","Fri May 15 02:04:54 UTC 2026","passed","Fri May 15 02:04:54 UTC 2026","Create entity","Courses","",""
"","629","Create user","LMS service","Fri May 15 02:05:01 UTC 2026","passed","Fri May 15 02:05:01 UTC 2026","Create entity","Users","",""
"","323","Create exercise","LMS service","Fri May 15 02:04:54 UTC 2026","passed","Fri May 15 02:04:55 UTC 2026","Create entity","Exercises","",""
"","304","Create file","LMS service","Fri May 15 02:04:57 UTC 2026","passed","Fri May 15 02:04:58 UTC 2026","Create entity","Files","",""
"","623","Login with correct email and password","LMS service","Fri May 15 02:04:51 UTC 2026","passed","Fri May 15 02:04:52 UTC 2026","Login","Authentication","",""
"","338","Update course","LMS service","Fri May 15 02:04:52 UTC 2026","passed","Fri May 15 02:04:52 UTC 2026","Update entity","Courses","",""
"","303","Get file with incorrect file id","LMS service","Fri May 15 02:05:01 UTC 2026","passed","Fri May 15 02:05:01 UTC 2026","Validate entity","Files","",""
"","324","Delete exercise","LMS service","Fri May 15 02:04:56 UTC 2026","passed","Fri May 15 02:04:57 UTC 2026","Delete entity","Exercises","",""
