"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Create file","LMS service","Thu May 07 02:48:05 UTC 2026","passed","Thu May 07 02:48:05 UTC 2026","Create entity","Files","",""
"","640","Create user","LMS service","Thu May 07 02:48:07 UTC 2026","passed","Thu May 07 02:48:08 UTC 2026","Create entity","Users","",""
"","337","Update course","LMS service","Thu May 07 02:47:59 UTC 2026","passed","Thu May 07 02:48:00 UTC 2026","Update entity","Courses","",""
"","319","Login with correct email and password","LMS service","Thu May 07 02:47:58 UTC 2026","passed","Thu May 07 02:47:59 UTC 2026","Login","Authentication","",""
"","13","Get file","LMS service","Thu May 07 02:48:05 UTC 2026","passed","Thu May 07 02:48:05 UTC 2026","Get entity","Files","",""
"","614","Create user","LMS service","Thu May 07 02:48:08 UTC 2026","passed","Thu May 07 02:48:08 UTC 2026","Create entity","Users","",""
"","18","Create exercise","LMS service","Thu May 07 02:48:01 UTC 2026","passed","Thu May 07 02:48:01 UTC 2026","Create entity","Exercises","",""
"","26","Create course","LMS service","Thu May 07 02:48:01 UTC 2026","passed","Thu May 07 02:48:01 UTC 2026","Create entity","Courses","",""
"","14","Get exercises","LMS service","Thu May 07 02:48:04 UTC 2026","passed","Thu May 07 02:48:04 UTC 2026","Get entities","Exercises","",""
"","13","Get user me","LMS service","Thu May 07 02:48:09 UTC 2026","passed","Thu May 07 02:48:09 UTC 2026","Get entity","Users","",""
"","17","Get file with incorrect file id","LMS service","Thu May 07 02:48:07 UTC 2026","passed","Thu May 07 02:48:07 UTC 2026","Validate entity","Files","",""
"","22","Delete file","LMS service","Thu May 07 02:48:07 UTC 2026","passed","Thu May 07 02:48:07 UTC 2026","Delete entity","Files","",""
"","15","Create file with empty directory","LMS service","Thu May 07 02:48:06 UTC 2026","passed","Thu May 07 02:48:06 UTC 2026","Validate entity","Files","",""
"","15","Get exercise","LMS service","Thu May 07 02:48:02 UTC 2026","passed","Thu May 07 02:48:02 UTC 2026","Get entity","Exercises","",""
"","24","Get courses","LMS service","Thu May 07 02:48:00 UTC 2026","passed","Thu May 07 02:48:00 UTC 2026","Get entities","Courses","",""
"","22","Update exercise","LMS service","Thu May 07 02:48:02 UTC 2026","passed","Thu May 07 02:48:02 UTC 2026","Update entity","Exercises","",""
"","322","Create user","LMS service","Thu May 07 02:48:07 UTC 2026","passed","Thu May 07 02:48:08 UTC 2026","Create entity","Users","",""
"","27","Delete exercise","LMS service","Thu May 07 02:48:04 UTC 2026","passed","Thu May 07 02:48:04 UTC 2026","Delete entity","Exercises","",""
"","303","Create file with empty filename","LMS service","Thu May 07 02:48:06 UTC 2026","passed","Thu May 07 02:48:06 UTC 2026","Validate entity","Files","",""
