"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Update exercise","LMS service","Thu May 07 03:10:55 UTC 2026","passed","Thu May 07 03:10:55 UTC 2026","Update entity","Exercises","",""
"","26","Delete file","LMS service","Thu May 07 03:11:00 UTC 2026","passed","Thu May 07 03:11:00 UTC 2026","Delete entity","Files","",""
"","276","Create file with empty filename","LMS service","Thu May 07 03:10:59 UTC 2026","passed","Thu May 07 03:10:59 UTC 2026","Validate entity","Files","",""
"","273","Create file with empty directory","LMS service","Thu May 07 03:10:59 UTC 2026","passed","Thu May 07 03:10:59 UTC 2026","Validate entity","Files","",""
"","270","Get file with incorrect file id","LMS service","Thu May 07 03:11:00 UTC 2026","passed","Thu May 07 03:11:01 UTC 2026","Validate entity","Files","",""
"","18","Get file","LMS service","Thu May 07 03:10:58 UTC 2026","passed","Thu May 07 03:10:58 UTC 2026","Get entity","Files","",""
"","306","Update course","LMS service","Thu May 07 03:10:53 UTC 2026","passed","Thu May 07 03:10:53 UTC 2026","Update entity","Courses","",""
"","291","Delete exercise","LMS service","Thu May 07 03:10:56 UTC 2026","passed","Thu May 07 03:10:57 UTC 2026","Delete entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Thu May 07 03:10:52 UTC 2026","passed","Thu May 07 03:10:53 UTC 2026","Login","Authentication","",""
"","293","Create exercise","LMS service","Thu May 07 03:10:55 UTC 2026","passed","Thu May 07 03:10:55 UTC 2026","Create entity","Exercises","",""
"","533","Create user","LMS service","Thu May 07 03:11:00 UTC 2026","passed","Thu May 07 03:11:01 UTC 2026","Create entity","Users","",""
"","272","Create file","LMS service","Thu May 07 03:10:57 UTC 2026","passed","Thu May 07 03:10:58 UTC 2026","Create entity","Files","",""
"","571","Create user","LMS service","Thu May 07 03:11:01 UTC 2026","passed","Thu May 07 03:11:01 UTC 2026","Create entity","Users","",""
"","290","Create user","LMS service","Thu May 07 03:11:01 UTC 2026","passed","Thu May 07 03:11:01 UTC 2026","Create entity","Users","",""
"","30","Get courses","LMS service","Thu May 07 03:10:53 UTC 2026","passed","Thu May 07 03:10:53 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Thu May 07 03:11:02 UTC 2026","passed","Thu May 07 03:11:02 UTC 2026","Get entity","Users","",""
"","16","Get exercise","LMS service","Thu May 07 03:10:56 UTC 2026","passed","Thu May 07 03:10:56 UTC 2026","Get entity","Exercises","",""
"","28","Create course","LMS service","Thu May 07 03:10:54 UTC 2026","passed","Thu May 07 03:10:54 UTC 2026","Create entity","Courses","",""
"","18","Get exercises","LMS service","Thu May 07 03:10:57 UTC 2026","passed","Thu May 07 03:10:57 UTC 2026","Get entities","Exercises","",""
