"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Get courses","LMS service","Tue May 26 02:57:51 UTC 2026","passed","Tue May 26 02:57:51 UTC 2026","Get entities","Courses","",""
"","17","Create file","LMS service","Tue May 26 02:57:55 UTC 2026","passed","Tue May 26 02:57:55 UTC 2026","Create entity","Files","",""
"","273","Get file with incorrect file id","LMS service","Tue May 26 02:57:58 UTC 2026","passed","Tue May 26 02:57:58 UTC 2026","Validate entity","Files","",""
"","285","Get exercises","LMS service","Tue May 26 02:57:55 UTC 2026","passed","Tue May 26 02:57:55 UTC 2026","Get entities","Exercises","",""
"","291","Create user","LMS service","Tue May 26 02:57:58 UTC 2026","passed","Tue May 26 02:57:59 UTC 2026","Create entity","Users","",""
"","288","Get exercise","LMS service","Tue May 26 02:57:54 UTC 2026","passed","Tue May 26 02:57:54 UTC 2026","Get entity","Exercises","",""
"","31","Create course","LMS service","Tue May 26 02:57:52 UTC 2026","passed","Tue May 26 02:57:52 UTC 2026","Create entity","Courses","",""
"","557","Create user","LMS service","Tue May 26 02:57:58 UTC 2026","passed","Tue May 26 02:57:58 UTC 2026","Create entity","Users","",""
"","298","Delete file","LMS service","Tue May 26 02:57:57 UTC 2026","passed","Tue May 26 02:57:58 UTC 2026","Delete entity","Files","",""
"","293","Create exercise","LMS service","Tue May 26 02:57:52 UTC 2026","passed","Tue May 26 02:57:53 UTC 2026","Create entity","Exercises","",""
"","15","Get file","LMS service","Tue May 26 02:57:56 UTC 2026","passed","Tue May 26 02:57:56 UTC 2026","Get entity","Files","",""
"","304","Update course","LMS service","Tue May 26 02:57:50 UTC 2026","passed","Tue May 26 02:57:51 UTC 2026","Update entity","Courses","",""
"","24","Update exercise","LMS service","Tue May 26 02:57:53 UTC 2026","passed","Tue May 26 02:57:53 UTC 2026","Update entity","Exercises","",""
"","12","Get user me","LMS service","Tue May 26 02:57:59 UTC 2026","passed","Tue May 26 02:57:59 UTC 2026","Get entity","Users","",""
"","270","Create file with empty directory","LMS service","Tue May 26 02:57:57 UTC 2026","passed","Tue May 26 02:57:57 UTC 2026","Validate entity","Files","",""
"","15","Create file with empty filename","LMS service","Tue May 26 02:57:56 UTC 2026","passed","Tue May 26 02:57:56 UTC 2026","Validate entity","Files","",""
"","561","Create user","LMS service","Tue May 26 02:57:58 UTC 2026","passed","Tue May 26 02:57:59 UTC 2026","Create entity","Users","",""
"","21","Delete exercise","LMS service","Tue May 26 02:57:54 UTC 2026","passed","Tue May 26 02:57:54 UTC 2026","Delete entity","Exercises","",""
"","556","Login with correct email and password","LMS service","Tue May 26 02:57:50 UTC 2026","passed","Tue May 26 02:57:50 UTC 2026","Login","Authentication","",""
