"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","Get file with incorrect file id","LMS service","Mon May 11 02:27:26 UTC 2026","passed","Mon May 11 02:27:27 UTC 2026","Validate entity","Files","",""
"","304","Create file with empty directory","LMS service","Mon May 11 02:27:25 UTC 2026","passed","Mon May 11 02:27:26 UTC 2026","Validate entity","Files","",""
"","301","Create file with empty filename","LMS service","Mon May 11 02:27:24 UTC 2026","passed","Mon May 11 02:27:24 UTC 2026","Validate entity","Files","",""
"","334","Get courses","LMS service","Mon May 11 02:27:19 UTC 2026","passed","Mon May 11 02:27:19 UTC 2026","Get entities","Courses","",""
"","14","Get file","LMS service","Mon May 11 02:27:24 UTC 2026","passed","Mon May 11 02:27:24 UTC 2026","Get entity","Files","",""
"","20","Delete exercise","LMS service","Mon May 11 02:27:22 UTC 2026","passed","Mon May 11 02:27:22 UTC 2026","Delete entity","Exercises","",""
"","19","Get exercise","LMS service","Mon May 11 02:27:22 UTC 2026","passed","Mon May 11 02:27:22 UTC 2026","Get entity","Exercises","",""
"","17","Get exercises","LMS service","Mon May 11 02:27:23 UTC 2026","passed","Mon May 11 02:27:23 UTC 2026","Get entities","Exercises","",""
"","326","Delete file","LMS service","Mon May 11 02:27:26 UTC 2026","passed","Mon May 11 02:27:26 UTC 2026","Delete entity","Files","",""
"","23","Create exercise","LMS service","Mon May 11 02:27:20 UTC 2026","passed","Mon May 11 02:27:20 UTC 2026","Create entity","Exercises","",""
"","623","Create user","LMS service","Mon May 11 02:27:26 UTC 2026","passed","Mon May 11 02:27:27 UTC 2026","Create entity","Users","",""
"","625","Login with correct email and password","LMS service","Mon May 11 02:27:17 UTC 2026","passed","Mon May 11 02:27:18 UTC 2026","Login","Authentication","",""
"","30","Create course","LMS service","Mon May 11 02:27:19 UTC 2026","passed","Mon May 11 02:27:19 UTC 2026","Create entity","Courses","",""
"","337","Update course","LMS service","Mon May 11 02:27:18 UTC 2026","passed","Mon May 11 02:27:18 UTC 2026","Update entity","Courses","",""
"","629","Create user","LMS service","Mon May 11 02:27:27 UTC 2026","passed","Mon May 11 02:27:27 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Mon May 11 02:27:28 UTC 2026","passed","Mon May 11 02:27:28 UTC 2026","Get entity","Users","",""
"","22","Update exercise","LMS service","Mon May 11 02:27:20 UTC 2026","passed","Mon May 11 02:27:20 UTC 2026","Update entity","Exercises","",""
"","59","Create file","LMS service","Mon May 11 02:27:23 UTC 2026","passed","Mon May 11 02:27:23 UTC 2026","Create entity","Files","",""
"","325","Create user","LMS service","Mon May 11 02:27:27 UTC 2026","passed","Mon May 11 02:27:27 UTC 2026","Create entity","Users","",""
