"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","Create user","LMS service","Wed May 27 01:34:11 UTC 2026","passed","Wed May 27 01:34:12 UTC 2026","Create entity","Users","",""
"","11","Get user me","LMS service","Wed May 27 01:34:12 UTC 2026","passed","Wed May 27 01:34:13 UTC 2026","Get entity","Users","",""
"","274","Get exercises","LMS service","Wed May 27 01:34:08 UTC 2026","passed","Wed May 27 01:34:08 UTC 2026","Get entities","Exercises","",""
"","525","Create user","LMS service","Wed May 27 01:34:11 UTC 2026","passed","Wed May 27 01:34:11 UTC 2026","Create entity","Users","",""
"","269","Login with correct email and password","LMS service","Wed May 27 01:34:03 UTC 2026","passed","Wed May 27 01:34:03 UTC 2026","Login","Authentication","",""
"","14","Get exercise","LMS service","Wed May 27 01:34:07 UTC 2026","passed","Wed May 27 01:34:07 UTC 2026","Get entity","Exercises","",""
"","22","Update exercise","LMS service","Wed May 27 01:34:06 UTC 2026","passed","Wed May 27 01:34:06 UTC 2026","Update entity","Exercises","",""
"","282","Get courses","LMS service","Wed May 27 01:34:04 UTC 2026","passed","Wed May 27 01:34:05 UTC 2026","Get entities","Courses","",""
"","275","Delete exercise","LMS service","Wed May 27 01:34:07 UTC 2026","passed","Wed May 27 01:34:07 UTC 2026","Delete entity","Exercises","",""
"","14","Create file with empty filename","LMS service","Wed May 27 01:34:09 UTC 2026","passed","Wed May 27 01:34:09 UTC 2026","Validate entity","Files","",""
"","27","Create course","LMS service","Wed May 27 01:34:05 UTC 2026","passed","Wed May 27 01:34:05 UTC 2026","Create entity","Courses","",""
"","249","Get file with incorrect file id","LMS service","Wed May 27 01:34:11 UTC 2026","passed","Wed May 27 01:34:11 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Wed May 27 01:34:09 UTC 2026","passed","Wed May 27 01:34:09 UTC 2026","Get entity","Files","",""
"","254","Create file with empty directory","LMS service","Wed May 27 01:34:10 UTC 2026","passed","Wed May 27 01:34:11 UTC 2026","Validate entity","Files","",""
"","284","Delete file","LMS service","Wed May 27 01:34:11 UTC 2026","passed","Wed May 27 01:34:11 UTC 2026","Delete entity","Files","",""
"","273","Create exercise","LMS service","Wed May 27 01:34:06 UTC 2026","passed","Wed May 27 01:34:06 UTC 2026","Create entity","Exercises","",""
"","287","Update course","LMS service","Wed May 27 01:34:04 UTC 2026","passed","Wed May 27 01:34:04 UTC 2026","Update entity","Courses","",""
"","532","Create user","LMS service","Wed May 27 01:34:11 UTC 2026","passed","Wed May 27 01:34:12 UTC 2026","Create entity","Users","",""
"","14","Create file","LMS service","Wed May 27 01:34:08 UTC 2026","passed","Wed May 27 01:34:08 UTC 2026","Create entity","Files","",""
