"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty filename","LMS service","Fri Jun 05 02:14:03 UTC 2026","passed","Fri Jun 05 02:14:04 UTC 2026","Validate entity","Files","",""
"","302","Update course","LMS service","Fri Jun 05 02:13:58 UTC 2026","passed","Fri Jun 05 02:13:58 UTC 2026","Update entity","Courses","",""
"","262","Create file with empty directory","LMS service","Fri Jun 05 02:14:04 UTC 2026","passed","Fri Jun 05 02:14:04 UTC 2026","Validate entity","Files","",""
"","21","Delete file","LMS service","Fri Jun 05 02:14:05 UTC 2026","passed","Fri Jun 05 02:14:05 UTC 2026","Delete entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Fri Jun 05 02:14:05 UTC 2026","passed","Fri Jun 05 02:14:05 UTC 2026","Validate entity","Files","",""
"","530","Create user","LMS service","Fri Jun 05 02:14:05 UTC 2026","passed","Fri Jun 05 02:14:05 UTC 2026","Create entity","Users","",""
"","313","Get exercise","LMS service","Fri Jun 05 02:14:00 UTC 2026","passed","Fri Jun 05 02:14:01 UTC 2026","Get entity","Exercises","",""
"","288","Create user","LMS service","Fri Jun 05 02:14:05 UTC 2026","passed","Fri Jun 05 02:14:06 UTC 2026","Create entity","Users","",""
"","553","Create user","LMS service","Fri Jun 05 02:14:05 UTC 2026","passed","Fri Jun 05 02:14:06 UTC 2026","Create entity","Users","",""
"","28","Get courses","LMS service","Fri Jun 05 02:13:58 UTC 2026","passed","Fri Jun 05 02:13:58 UTC 2026","Get entities","Courses","",""
"","285","Login with correct email and password","LMS service","Fri Jun 05 02:13:57 UTC 2026","passed","Fri Jun 05 02:13:57 UTC 2026","Login","Authentication","",""
"","267","Create file","LMS service","Fri Jun 05 02:14:02 UTC 2026","passed","Fri Jun 05 02:14:03 UTC 2026","Create entity","Files","",""
"","287","Delete exercise","LMS service","Fri Jun 05 02:14:01 UTC 2026","passed","Fri Jun 05 02:14:02 UTC 2026","Delete entity","Exercises","",""
"","36","Create course","LMS service","Fri Jun 05 02:13:59 UTC 2026","passed","Fri Jun 05 02:13:59 UTC 2026","Create entity","Courses","",""
"","12","Get user me","LMS service","Fri Jun 05 02:14:07 UTC 2026","passed","Fri Jun 05 02:14:07 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Fri Jun 05 02:14:03 UTC 2026","passed","Fri Jun 05 02:14:03 UTC 2026","Get entity","Files","",""
"","19","Get exercises","LMS service","Fri Jun 05 02:14:02 UTC 2026","passed","Fri Jun 05 02:14:02 UTC 2026","Get entities","Exercises","",""
"","19","Create exercise","LMS service","Fri Jun 05 02:13:59 UTC 2026","passed","Fri Jun 05 02:13:59 UTC 2026","Create entity","Exercises","",""
"","25","Update exercise","LMS service","Fri Jun 05 02:14:00 UTC 2026","passed","Fri Jun 05 02:14:00 UTC 2026","Update entity","Exercises","",""
