"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","523","Create user","LMS service","Fri May 08 02:28:21 UTC 2026","passed","Fri May 08 02:28:22 UTC 2026","Create entity","Users","",""
"","276","Create user","LMS service","Fri May 08 02:28:21 UTC 2026","passed","Fri May 08 02:28:22 UTC 2026","Create entity","Users","",""
"","253","Create file","LMS service","Fri May 08 02:28:18 UTC 2026","passed","Fri May 08 02:28:19 UTC 2026","Create entity","Files","",""
"","259","Create file with empty directory","LMS service","Fri May 08 02:28:20 UTC 2026","passed","Fri May 08 02:28:20 UTC 2026","Validate entity","Files","",""
"","20","Create exercise","LMS service","Fri May 08 02:28:16 UTC 2026","passed","Fri May 08 02:28:16 UTC 2026","Create entity","Exercises","",""
"","504","Create user","LMS service","Fri May 08 02:28:21 UTC 2026","passed","Fri May 08 02:28:21 UTC 2026","Create entity","Users","",""
"","20","Get exercises","LMS service","Fri May 08 02:28:18 UTC 2026","passed","Fri May 08 02:28:18 UTC 2026","Get entities","Exercises","",""
"","12","Get user me","LMS service","Fri May 08 02:28:23 UTC 2026","passed","Fri May 08 02:28:23 UTC 2026","Get entity","Users","",""
"","28","Create course","LMS service","Fri May 08 02:28:15 UTC 2026","passed","Fri May 08 02:28:15 UTC 2026","Create entity","Courses","",""
"","296","Update course","LMS service","Fri May 08 02:28:14 UTC 2026","passed","Fri May 08 02:28:14 UTC 2026","Update entity","Courses","",""
"","23","Delete file","LMS service","Fri May 08 02:28:21 UTC 2026","passed","Fri May 08 02:28:21 UTC 2026","Delete entity","Files","",""
"","42","Get exercise","LMS service","Fri May 08 02:28:17 UTC 2026","passed","Fri May 08 02:28:17 UTC 2026","Get entity","Exercises","",""
"","252","Create file with empty filename","LMS service","Fri May 08 02:28:20 UTC 2026","passed","Fri May 08 02:28:20 UTC 2026","Validate entity","Files","",""
"","275","Update exercise","LMS service","Fri May 08 02:28:16 UTC 2026","passed","Fri May 08 02:28:17 UTC 2026","Update entity","Exercises","",""
"","16","Get file","LMS service","Fri May 08 02:28:19 UTC 2026","passed","Fri May 08 02:28:19 UTC 2026","Get entity","Files","",""
"","27","Get courses","LMS service","Fri May 08 02:28:15 UTC 2026","passed","Fri May 08 02:28:15 UTC 2026","Get entities","Courses","",""
"","518","Login with correct email and password","LMS service","Fri May 08 02:28:13 UTC 2026","passed","Fri May 08 02:28:14 UTC 2026","Login","Authentication","",""
"","255","Get file with incorrect file id","LMS service","Fri May 08 02:28:21 UTC 2026","passed","Fri May 08 02:28:21 UTC 2026","Validate entity","Files","",""
"","275","Delete exercise","LMS service","Fri May 08 02:28:18 UTC 2026","passed","Fri May 08 02:28:18 UTC 2026","Delete entity","Exercises","",""
