"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file","LMS service","Tue May 26 03:05:05 UTC 2026","passed","Tue May 26 03:05:05 UTC 2026","Get entity","Files","",""
"","17","Get exercise","LMS service","Tue May 26 03:05:03 UTC 2026","passed","Tue May 26 03:05:03 UTC 2026","Get entity","Exercises","",""
"","335","Get courses","LMS service","Tue May 26 03:05:00 UTC 2026","passed","Tue May 26 03:05:00 UTC 2026","Get entities","Courses","",""
"","323","Create user","LMS service","Tue May 26 03:05:08 UTC 2026","passed","Tue May 26 03:05:08 UTC 2026","Create entity","Users","",""
"","23","Delete file","LMS service","Tue May 26 03:05:07 UTC 2026","passed","Tue May 26 03:05:07 UTC 2026","Delete entity","Files","",""
"","305","Create file with empty filename","LMS service","Tue May 26 03:05:06 UTC 2026","passed","Tue May 26 03:05:06 UTC 2026","Validate entity","Files","",""
"","630","Create user","LMS service","Tue May 26 03:05:08 UTC 2026","passed","Tue May 26 03:05:09 UTC 2026","Create entity","Users","",""
"","22","Update exercise","LMS service","Tue May 26 03:05:02 UTC 2026","passed","Tue May 26 03:05:02 UTC 2026","Update entity","Exercises","",""
"","320","Login with correct email and password","LMS service","Tue May 26 03:04:58 UTC 2026","passed","Tue May 26 03:04:59 UTC 2026","Login","Authentication","",""
"","304","Create file","LMS service","Tue May 26 03:05:04 UTC 2026","passed","Tue May 26 03:05:05 UTC 2026","Create entity","Files","",""
"","31","Create course","LMS service","Tue May 26 03:05:01 UTC 2026","passed","Tue May 26 03:05:01 UTC 2026","Create entity","Courses","",""
"","608","Create user","LMS service","Tue May 26 03:05:07 UTC 2026","passed","Tue May 26 03:05:08 UTC 2026","Create entity","Users","",""
"","305","Create file with empty directory","LMS service","Tue May 26 03:05:06 UTC 2026","passed","Tue May 26 03:05:07 UTC 2026","Validate entity","Files","",""
"","15","Get exercises","LMS service","Tue May 26 03:05:04 UTC 2026","passed","Tue May 26 03:05:04 UTC 2026","Get entities","Exercises","",""
"","324","Delete exercise","LMS service","Tue May 26 03:05:03 UTC 2026","passed","Tue May 26 03:05:04 UTC 2026","Delete entity","Exercises","",""
"","22","Create exercise","LMS service","Tue May 26 03:05:01 UTC 2026","passed","Tue May 26 03:05:01 UTC 2026","Create entity","Exercises","",""
"","12","Get user me","LMS service","Tue May 26 03:05:09 UTC 2026","passed","Tue May 26 03:05:09 UTC 2026","Get entity","Users","",""
"","331","Update course","LMS service","Tue May 26 03:04:59 UTC 2026","passed","Tue May 26 03:05:00 UTC 2026","Update entity","Courses","",""
"","300","Get file with incorrect file id","LMS service","Tue May 26 03:05:08 UTC 2026","passed","Tue May 26 03:05:08 UTC 2026","Validate entity","Files","",""
